Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NCU04817	1864.1651507756	0.503051345857964	0.0795711612754296	6.32203096944494	2.58147624552552e-10	5.64928889006749e-10
NCU04818	13030.2505110564	-0.412573811441221	0.0516425735753871	-7.98902500160941	1.36010112781192e-15	3.73558734526721e-15
NCU04819	539.256820030047	-0.140261049496514	0.12634412158664	-1.11015097287554	0.26693397526005	0.29872179898056
NCU12086	6384.87920678359	0.76252038529538	0.0556526212436602	13.7014280415811	9.9546990914204e-43	5.89772864509689e-42
NCU12087	966.309802818348	-0.0810980835068268	0.0998160901606879	-0.812475056639384	0.41651909356773	0.451312487031178
NCU04821	9158.09423362671	-0.310539457577473	0.0534634334606067	-5.80844583815005	6.30554209017284e-09	1.28283616525593e-08
NCU04822	615.341823506624	-1.3138677536897	0.111927057515187	-11.7386071148294	8.08063114059052e-32	3.66798956493083e-31
NCU04823	3557.3341672696	0.513617527869243	0.0704487503142575	7.2906549169162	3.08451899155471e-13	7.71713486105505e-13
NCU04824	2120.0779696971	0.00814528124988132	0.0710204312817636	0.11468926762168	0.908691420989023	0.918779645102991
NCU04825	674.242849468271	-0.113731797384146	0.128920041682348	-0.882188648871015	0.377674799303452	0.411829570352421
NCU04826	811.962763638779	-0.838854402685362	0.0963235369843173	-8.70871677835022	3.0733411762917e-18	9.26439218670184e-18
NCU04827	20.2192436938479	-1.79449696304107	0.58719895491496	-3.05602887747127	0.00224289653004499	0.00316646391716939
NCU14171	147.028083022476	0.666186522334226	0.219254747710569	3.03841321244107	0.00237827597889487	0.00335095797487146
NCU04830	40.5050536815322	-0.366818721215274	0.39687712766185	-0.924262688999841	0.355349563657129	0.389320145184116
NCU14172	1707.65804353567	0.811631641908091	0.0786144708908725	10.3242015459819	5.47726046125318e-25	2.03873160038211e-24
NCU04832	2929.37247720613	0.866487965865273	0.0742127923276284	11.675722455503	1.69618526748531e-31	7.64667829117523e-31
NCU04834	1216.52004368018	0.851684513512712	0.096622433560065	8.81456285183778	1.20152955962973e-18	3.67761693242408e-18
NCU15367	35386.7655444345	0.158575781188543	0.0522062431830059	3.03748692723713	0.00238559751979254	0.00336072081075266
NCU04835	1523.08708509108	0.413000390007186	0.0869493305625396	4.74989729461033	2.03519985219129e-06	3.57548654516922e-06
NCU04837	3582.5275980189	-0.562251090059932	0.063144627098521	-8.90417943529358	5.37823948039218e-19	1.66521186949864e-18
NCU04838	898.334588960638	0.500114097303528	0.0963899705017449	5.18844538181984	2.12056937487521e-07	3.95343955102496e-07
NCU04840	2082.68225680221	-1.04702398379919	0.0836881701679171	-12.5110153764669	6.4988150560377e-36	3.28625845804718e-35
NCU04841	23104.1510426305	-0.692205876694094	0.325575908140168	-2.12609673930813	0.033495205383449	0.042312594553299
NCU17077	32917.3307284634	-1.94371437633863	0.311685328224488	-6.23614331611621	4.4849024630957e-10	9.71539726380624e-10
NCU12091	49093.9745307857	-1.79769132941799	0.303533703759884	-5.92254272639222	3.17001407023714e-09	6.55994451421323e-09
NCU04843	40661.916997704	-1.785275999358	0.288190648562465	-6.19477421721768	5.83686390733275e-10	1.25551235956471e-09
NCU04847	2969.88779416743	0.665831249337143	0.0651409998173869	10.2213851676164	1.59051646866561e-24	5.83643870049134e-24
NCU04848	5855.03456970808	0.598534371138202	0.0673662873651469	8.8847759695284	6.40497058464228e-19	1.97952899549179e-18
NCU04850	1596.92908164811	2.16836412197888	0.107497552332968	20.17128832164	1.75019588435558e-90	2.32661909409443e-89
NCU09778	1381.83487647985	0.0102278531067641	0.0918678586214536	0.111332225004923	0.911352902381395	0.920926841039556
