GO	GENE	CLASS
GO:0005524	NCU11409	MF
GO:0003678	NCU11409	MF
GO:0016818	NCU11409	MF
GO:0003678	NCU11409	MF
GO:0004672	NCU11410	MF
GO:0006468	NCU11410	BP
GO:0004672	NCU11410	MF
GO:0006468	NCU11410	BP
GO:0005524	NCU11410	MF
GO:0016021	NCU10143	CC
GO:0006812	NCU10143	BP
GO:0016887	NCU10143	MF
GO:0000166	NCU10143	MF
GO:0016021	NCU10143	CC
GO:0004017	NCU10220	MF
GO:0005524	NCU10220	MF
GO:0046983	NCU11295	MF
GO:0016567	NCU10270	BP
GO:0004842	NCU10270	MF
GO:0005515	NCU10270	MF
GO:0055114	NCU10110	BP
GO:0016491	NCU10110	MF
GO:0055114	NCU10110	BP
GO:0050661	NCU10110	MF
GO:0051287	NCU10110	MF
GO:0005975	NCU10107	BP
GO:0016853	NCU10107	MF
GO:0004807	NCU10106	MF
GO:0003824	NCU10106	MF
GO:0006487	NCU10762	BP
GO:0003975	NCU10762	MF
GO:0006488	NCU10762	BP
GO:0016021	NCU10762	CC
GO:0008963	NCU10762	MF
GO:0043631	NCU11050	BP
GO:0004652	NCU11050	MF
GO:0016779	NCU11050	MF
GO:0031123	NCU11050	BP
GO:0003723	NCU11050	MF
GO:0033255	NCU10806	CC
GO:0016573	NCU10806	BP
GO:0000813	NCU11209	CC
GO:0032509	NCU11209	BP
GO:0008080	NCU11212	MF
GO:0004343	NCU11212	MF
GO:0006048	NCU11212	BP
GO:0000387	NCU00505	BP
GO:0006396	NCU00505	BP
GO:0000387	NCU00505	BP
GO:0006396	NCU00505	BP
GO:0016620	NCU00567	MF
GO:0055114	NCU00567	BP
GO:0051287	NCU00567	MF
GO:0055114	NCU00567	BP
GO:0003942	NCU00567	MF
GO:0006526	NCU00567	BP
GO:0055114	NCU00567	BP
GO:0003942	NCU00567	MF
GO:0005737	NCU00567	CC
GO:0003991	NCU00567	MF
GO:0005739	NCU00567	CC
GO:0006526	NCU00567	BP
GO:0003942	NCU00567	MF
GO:0005515	NCU00579	MF
GO:0005515	NCU00579	MF
GO:0005886	NCU00586	CC
GO:0004672	NCU00587	MF
GO:0006468	NCU00587	BP
GO:0005524	NCU00587	MF
GO:0004672	NCU00587	MF
GO:0006468	NCU00587	BP
GO:0005524	NCU00591	MF
GO:0046872	NCU00591	MF
GO:0005524	NCU00591	MF
GO:0045454	NCU00598	BP
GO:0015035	NCU00598	MF
GO:0006662	NCU00598	BP
GO:0045454	NCU00598	BP
GO:0045454	NCU00598	BP
GO:0015035	NCU00598	MF
GO:0006662	NCU00598	BP
GO:0045454	NCU00598	BP
GO:0015986	NCU00636	BP
GO:0015078	NCU00636	MF
GO:0000276	NCU00636	CC
GO:0016491	NCU00655	MF
GO:0055114	NCU00655	BP
GO:0046856	NCU00684	BP
GO:0046856	NCU00684	BP
GO:0005524	NCU00685	MF
GO:0004672	NCU00685	MF
GO:0006468	NCU00685	BP
GO:0005524	NCU00685	MF
GO:0004672	NCU00685	MF
GO:0006468	NCU00685	BP
GO:0004672	NCU00685	MF
GO:0006468	NCU00685	BP
GO:0005524	NCU00685	MF
GO:0005524	NCU00685	MF
GO:0004672	NCU00685	MF
GO:0006468	NCU00685	BP
GO:0005524	NCU00685	MF
GO:0004672	NCU00685	MF
GO:0006468	NCU00685	BP
GO:0005524	NCU00685	MF
GO:0004672	NCU00685	MF
GO:0006468	NCU00685	BP
GO:0016810	NCU00722	MF
GO:0000413	NCU00726	BP
GO:0003755	NCU00726	MF
GO:0003755	NCU00726	MF
GO:0006457	NCU00726	BP
GO:0004672	NCU00772	MF
GO:0006468	NCU00772	BP
GO:0005524	NCU00772	MF
GO:0004672	NCU00772	MF
GO:0006468	NCU00772	BP
GO:0005524	NCU00772	MF
GO:0005524	NCU00772	MF
GO:0022857	NCU00803	MF
GO:0022857	NCU00803	MF
GO:0055085	NCU00803	BP
GO:0022857	NCU00803	MF
GO:0055085	NCU00803	BP
GO:0022857	NCU00803	MF
GO:0008236	NCU00831	MF
GO:0006508	NCU00831	BP
GO:0005515	NCU00874	MF
GO:0001682	NCU00874	BP
GO:0005655	NCU00874	CC
GO:0000172	NCU00874	CC
GO:0005515	NCU00874	MF
GO:0016788	NCU00874	MF
GO:0001682	NCU00874	BP
GO:0005655	NCU00874	CC
GO:0000172	NCU00874	CC
GO:0005515	NCU00879	MF
GO:0004326	NCU00892	MF
GO:0009396	NCU00892	BP
GO:0005524	NCU00892	MF
GO:0016874	NCU00892	MF
GO:0005524	NCU00892	MF
GO:0009058	NCU00892	BP
GO:0005524	NCU00892	MF
GO:0009058	NCU00892	BP
GO:0016021	NCU00913	CC
GO:0006506	NCU00913	BP
GO:0016746	NCU00913	MF
GO:0016021	NCU00913	CC
GO:0006506	NCU00913	BP
GO:0016746	NCU00913	MF
GO:0004672	NCU00914	MF
GO:0006468	NCU00914	BP
GO:0005524	NCU00914	MF
GO:0004672	NCU00914	MF
GO:0006468	NCU00914	BP
GO:0005524	NCU00914	MF
GO:0006468	NCU00914	BP
GO:0004674	NCU00914	MF
